Time, Altitude, Velocity, Temperature (F), Voltage
27.35, 1406, -15, 89.35, 4.15
27.40, 1405, -15, 89.35, 4.15
27.45, 1404, -15, 89.37, 4.15
27.50, 1404, -15, 89.35, 4.15
27.55, 1404, -15, 89.37, 4.15
27.60, 1402, -16, 89.35, 4.15
27.65, 1402, -16, 89.35, 4.15
27.70, 1402, -16, 89.35, 4.15
27.75, 1401, -16, 89.35, 4.15
27.80, 1400, -16, 89.35, 4.15
27.85, 1398, -16, 89.35, 4.15
27.90, 1398, -15, 89.35, 4.15
27.95, 1397, -15, 89.35, 4.15
28.00, 1397, -16, 89.35, 4.15
28.05, 1396, -16, 89.35, 4.15
28.10, 1395, -16, 89.35, 4.15
28.15, 1394, -16, 89.35, 4.15
28.20, 1394, -16, 89.35, 4.15
28.25, 1393, -16, 89.35, 4.15
28.30, 1393, -16, 89.35, 4.15
28.35, 1392, -16, 89.35, 4.15
28.40, 1391, -16, 89.35, 4.15
28.45, 1390, -16, 89.37, 4.15
28.50, 1389, -16, 89.35, 4.15
28.55, 1387, -16, 89.35, 4.15
28.60, 1387, -16, 89.35, 4.15
28.65, 1386, -16, 89.35, 4.15
28.70, 1386, -16, 89.35, 4.15
28.75, 1385, -16, 89.35, 4.15
28.80, 1385, -16, 89.35, 4.15
28.85, 1384, -16, 89.35, 4.15
28.90, 1383, -16, 89.35, 4.15
28.95, 1382, -17, 89.35, 4.15
29.00, 1380, -17, 89.35, 4.15
29.05, 1379, -17, 89.35, 4.15
29.10, 1380, -17, 89.35, 4.15
29.15, 1378, -17, 89.35, 4.15
29.20, 1377, -17, 89.35, 4.15
29.25, 1376, -17, 89.35, 4.15
29.30, 1376, -17, 89.35, 4.15
29.35, 1375, -17, 89.35, 4.15
29.40, 1374, -16, 89.35, 4.15
29.45, 1372, -16, 89.35, 4.15
29.50, 1371, -16, 89.35, 4.15
29.55, 1370, -16, 89.35, 4.15
29.60, 1371, -16, 89.35, 4.15
29.65, 1370, -16, 89.35, 4.15
29.70, 1368, -16, 89.35, 4.15
29.75, 1368, -17, 89.35, 4.15
29.80, 1367, -17, 89.35, 4.15
29.85, 1366, -17, 89.35, 4.15
29.90, 1364, -17, 89.35, 4.15
29.95, 1365, -16, 89.35, 4.15
